Resolution,h,MSE,Rel_L2,Rel_Linf,Abs_L2,Abs_Linf,Max_Error,Time(s)
16,0.125000,2.437351e-06,1.412876e-03,1.814924e-03,3.532596e-02,3.629848e-03,3.629848e-03,135.95
24,0.083333,2.620048e-06,1.378220e-03,1.632355e-03,4.668919e-02,3.264710e-03,3.264710e-03,98.80
32,0.062500,2.935028e-06,1.407598e-03,2.419010e-03,6.129303e-02,4.838020e-03,4.838020e-03,123.78
64,0.031250,1.625487e-06,1.013272e-03,2.829790e-03,8.410778e-02,5.659580e-03,5.659580e-03,42.83
