Resolution,h,MSE,Rel_L2,Time(s)
16,0.125000,2.504029e-06,1.432072e-03,292.44
24,0.083333,2.808477e-06,1.426919e-03,341.27
32,0.062500,2.993811e-06,1.421624e-03,290.41
64,0.031250,1.639515e-06,1.017635e-03,538.32
