Resolution,h,MSE,Rel_L2,Rel_Linf,Abs_L2,Abs_Linf,Max_Error,Time(s)
16,0.125000,2.488008e-06,1.427483e-03,1.744054e-03,3.569118e-02,3.488109e-03,3.488109e-03,75.28
24,0.083333,2.757775e-06,1.413980e-03,1.630902e-03,4.790061e-02,3.261805e-03,3.261805e-03,87.35
32,0.062500,3.000143e-06,1.423127e-03,2.296209e-03,6.196921e-02,4.592419e-03,4.592419e-03,105.84
64,0.031250,1.534675e-06,9.845606e-04,2.859116e-03,8.172456e-02,5.718231e-03,5.718231e-03,111.25
